Artist,Title,Style,Duration,lien
Julien Doré,Paris-Seychelles,Pop,X,
Fréro Delavega,Le chant des sirènes,Pop,X,
Louane,Jour 1,Pop,X,
Vianney,Les filles d'aujourd'hui,Pop,X,
Kendji Girac,Color Gitano,Pop,X,
Indila,Dernière Danse,Pop,X,
Christophe Maé,L'attrape-rêves,Pop,X,
Brigitte,A bouche que veux-tu,Pop,X,
Jenifer,Paradis secret,Pop,X,
Calogero,Un Jour Au Mauvais Endroit,Pop,X,
Keen'V,Rien qu'une fois,Pop,X,
Black M,Je suis chez moi,Pop,X,
Maître Gims,Sapés comme jamais (Pilule Bleue),Pop,X,
Angèle,Oui ou non,Pop,X,
En nuit,VIDEOCLUB,Pop,X,
Poupie,Ne m’invite pas,Pop,X,
Julien Granel,Défait,Pop,X,
Soprano,Casanova,Pop,X,
Kendji Girac,Maria Maria,Pop,X,
Angèle,Les matins,Pop,X,
Soprano,Clown,Pop,X,
Soprano,En feu,Pop,X,
Tant de choses,Zaho,Pop,X,
Tout va bien,Souf,Pop,X,
Stromae,Alors on danse,Pop,X,
Stromae,Papaoutai,Pop,X,
Stromae,tous les mêmes,Pop,X,
Orelsan,Basique,Pop,X,
Navii,Alors souris,Pop,X,
Dr Bériz,Tout le monde est loin d’être fiable,Pop,X,
Gims,Ma beauté (Pilule Violette),Pop,X,
Bigflo & Oli,Dommage,Pop,X,
Angèle,Balance Ton Quoi,Pop,X,
Carla,Bim Bam toi,Pop,X,
GIms,Bella,Pop,X,
Gims,J’me tire,Pop,X,
Dadju,Jaloux,Pop,X,
Dadju,Reine,Pop,X,
Christophe Maé,Les gens,Pop,X,
Christophe Maé,On S'Attache,Pop,X,
Christophe Maé,Belle Demoiselle ,Pop,X,
Zaz,On ira,Pop,X,
Joyce Jonathan ,Ça ira,Pop,X,
Marwa Loud,Fallait pas,Pop,X,
Naza,Souris Verte,Pop,X,
DJ Erise,TECO,Pop,X,
Franglish,À cause de toi,Pop,X,
Lartiste,Catchu catchu,Pop,X,
Lartiste,Chocolat,Pop,X,
Lartiste ,Mafiosa,Pop,X,
Henri Salvador,Blouse Du Dentiste,Pop,,Genius
Henri Salvador,J'ai Vingt Ans,Pop,,Genius
Henri Salvador,Le Cingle de la Grosse Caisse,Pop,,
Henri Salvador,Le Fetard,Pop,,Genius
Henri Salvador,Le Taxi,Pop,,
Henri Salvador,Colonel Bogey,Pop,,
Henri Salvador,Gondolier,Pop,,Genius
Henri Salvador,Buenas Noches Mi Amor,Pop,,Genius
Henri Salvador,Bon Voyage,Pop,,Genius
Henri Salvador,Moi J'prefere la Marche A Pied,Pop,,Genius
Henri Salvador,Quand Un Artiste,Pop,136,
Henri Salvador,Coiffeur Pour Dames,Pop,142,
Henri Salvador,La Femme D'Affaires,Pop,180,
Henri Salvador,Les Majorettes,Pop,134,
Henri Salvador,Count Basie,Pop,170,Genius
Henri Salvador,Elle Est Toujours Derrière,Pop,152,
Henri Salvador,Copain Henri,Pop,200,
Henri Salvador,La Vie Est Belle Quand Tu N'Es Pas Là,Pop,130,
Henri Salvador,Une Chanson Douce,Pop,152,Genius
Henri Salvador,Grand-Père,Pop,135,
Henri Salvador,Le Voyageur,Pop,174,Genius
Henri Salvador,Quand Faut Y Aller Faut Y Aller,Pop,148,
booba,inedit,Rap,03:57,
lunatic,la lettre,Rap,04:50,
arsenik,boxe avec les mots,Rap,04:20,
pnl,le monde ou rien,Rap,04:16,
laylow,medaille,Rap,03:53,
dinos,les pleurs du mal,Rap,05:05,
iam,demain c'est loin,Rap,09:00,
alpha wann,olive et tom,Rap,02:47,
nekfeu,humanoide,Rap,06:26,
siboy,nwaar,Rap,02:05,
damso,amnesie,Rap,03:35,
maes,elvira,Rap,04:04,
ninho,caramelo,Rap,03:46,
niska,mendoza,Rap,03:18,
salif,j'hesite,Rap,03:44,
sofiane,tout l'monde s'en fout,Rap,02:28,
sefyu,molotov 4,Rap,04:00,
seth gueko,titi parisien,Rap,04:03,
guizmo,andre,Rap,07:44,
orelsan,jimmy punchline,Rap,04:06,
oxmo puccino,le tango des belles dames,Rap,03:50,
rohff,en mode 1,Rap,03:26,
la fouine,du ferme,Rap,03:52,
isha,"l'augmentation, pt. 1",Rap,03:06,
flynt,j'eclaire ma ville,Rap,04:25,
a2h,on charbonne,Rap,03:42,
kekra,pas jolie,Rap,04:36,
josman,fucked up 3,Rap,03:21,
da uzi,plus belle la vie,Rap,03:21,
ateyaba,2014 à l'infini,Rap,02:49,
sayan supa crew,angela,Rap,03:46,
doc gyneco,les filles du moove,Rap,04:14,
niro,fort et vivant,Rap,03:37,
lomepal,cette foutue perle,Rap,03:22,
krisy,belle,Rap,03:38,
luidji,derbnier souffle,Rap,02:24,
vald,joffrey,Rap,03:29,
13 block,fuck le 17,Rap,03:32,
freeze corleone,s/o congo part.2,Rap,03:48,
jazzy bazz,64 mesures de spleen,Rap,03:29,
deen burbigo,luc bresson,Rap,02:15,
plk,260,Rap,02:38,
busta flex,pourquoi?,Rap,03:57,
dany dan,sunshine,Rap,03:47,
les sages de poetes de la rue,J’rappe pour les mino(rités),Rap,03:39,
x-men,les pyramides,Rap,03:47,
dosseh,la rue c'est rassoir,Rap,03:57,
ntm,laisse pas trainer ton fils,Rap,03:58,
fonky family,cherche pas a comprendre,Rap,05:25,
alpha 5.20,boss 2 panam,Rap,03:36,
sch,tant pis,Rap,03:50,
sopico,le hasard ou la chance,Rap,03:36,
nepal,kodck white,Rap,03:20,
tandem,les maux,Rap,05:41,
ideal j,hardcore,Rap,05:09,
nakk mendosa,la tour 20,Rap,03:35,
disiz,j'pete les plombs,Rap,04:04,
sniper,la rumba,Rap,04:19,
sexion d'assaut,mets pas celle la,Rap,03:57,
youssoupha,chanson francaise,Rap,02:59,
medine,brassens,Rap,03:29,
lino,stress,Rap,04:58,
kaaris,bouchon de liege,Rap,04:24,
sultan,que d'la peufra,Rap,03:52,
scred connexion,partis de rien,Rap,04:01,
Serge Gainsbourg,Le poinçonneur des Lilas,Jazz,164,Genius
Serge Gainsbourg,La recette de l'amour fou,Jazz,117,Genius
Serge Gainsbourg,Douze belles dans la peau,Jazz,115,Genius
Serge Gainsbourg,Ce mortel ennui,Jazz,175,Genius
Serge Gainsbourg,Ronsard 58,Jazz,113,Genius
Serge Gainsbourg,La femme des uns sous le corps des autres,Jazz,181,Genius
Serge Gainsbourg,L'alcool,Jazz,239,Genius
Serge Gainsbourg,Du jazz dans le ravin,Jazz,131,Genius
Serge Gainsbourg,Charleston des déménageurs de piano,Jazz,145,Genius
Magali Noel,L'anguille,Jazz,138,Genius
Henri Salvador,Jazz mediterranee,Jazz,204,Genius
Henri Salvador,Il fait dimanche,Jazz,236,Genius
Henri Salvador,Jardin D'hiver,Jazz,169,Genius
Henri Salvador,Chambre Avec Vue,Jazz,162,Genius
Henri Salvador,J'ai Vu,Jazz,210,Genius
Henri Salvador,La Muraille De Chine,Jazz,201,Genius
Henri Salvador,Un Tour De Manège,Jazz,218,Genius
Henri Salvador,Vagabond,Jazz,202,Genius
Henri Salvador,Je Sais Que Tu Sais,Jazz,266,Genius
Henri Salvador,Mademoiselle,Jazz,233,Genius
Henri Salvador,Le Fou De La Reine,Jazz,190,Genius
Henri Salvador,Faire Des Ronds Dans L'eau,Jazz,168,Genius
Henri Salvador,Aime-moi,Jazz,234,Genius
Henri Salvador,Rock and roll-mops,Rock,137,Genius
Henri Salvador,Dis moi qu'tu m'aimes rock,Rock,147,"https://greatsong.net/PAROLES-HENRI-SALVADOR,DIS-MOI-QUTU-MAIMES-ROCK,100313450.html"
Henri Salvador,"Va t'faire cuire un œuf, man",Rock,152,"https://greatsong.net/PAROLES-HENRI-SALVADOR,VA-T-FAIRE-CUIRE-UN-OEUF-MAN,111651290.html"
Henri Salvador,Rock hoquet,Rock,150,Genius
Magali Noel,Alhambra Rock,Rock,156,https://www.letssingit.com/magali-no%C3%ABl-lyrics-alhambra-rock-hgjv8vk
Magali Noel,"Fais-Moi Mal, Johnny",Rock,158,Genius
Magali Noel,Strip rock,Rock,137,
Annie Cordy,Qu'est-ce que tu as mon vieux,Rock,133,
Moustache,Le rock de Paris,Rock,,
Claude Bolling,Crazy love,Rock,,
Michel Legrand,Rock surprise partie,Rock,,
Marcel Zanini et ses Challengers,Dis-moi oui ou non,Rock,,
Georges Guetary,"Georges, viens danser le rock",Rock,,
Eddie Constantine ,Rock rock,Rock,,
Colette Renard,L'âge atomique,Rock,,
Georges Aber,Comme un tigre,Rock,,
Line Renaud,BILLBOARD DE MON COEUR,Rock,153,
Johnny hallyday,T'aimer follement,Rock,,Genius
Johnny hallyday,"Souvenirs, souvenirs",Rock,,Genius
Johnny hallyday,Itsy bitsy petit bikini,Rock,,Genius
Johnny hallyday,Ce s'rait bien,Rock,,Genius
Johnny hallyday,"Nous les gars, nous les filles",Rock,,Genius
Johnny hallyday,Tu m'plais,Rock,,Genius
Johnny hallyday,Ce n'est pas méchant,Rock,,Genius
Johnny hallyday,Tutti frutti ,Rock,,Genius
Johnny hallyday,Depuis qu'ma môme,Rock,,Genius
Johnny hallyday,Oui j'ai,Rock,,Genius
Johnny hallyday,À New Orleans,Rock,,Genius
Johnny hallyday,Mon vieux copain,Rock,,Genius
Johnny hallyday,Tu es là,Rock,,Genius
Johnny hallyday,Mon vieux copain,Rock,,Genius
Johnny hallyday,Douce Violence,Rock,,Genius
Johnny hallyday,Il faut saisir sa chance,Rock,,Genius
Johnny hallyday,Let's Twist Again ,Rock,,Genius
Johnny hallyday,Tu peux la prendre,Rock,,Genius
Johnny hallyday,Toi qui regrettes,Rock,,Genius
Johnny hallyday,Avec une poignée de terre,Rock,,Genius
Johnny hallyday,Wap dou wap,Rock,,Genius
Johnny hallyday,Si tu me téléphones,Rock,,Genius
Johnny hallyday,Retiens la nuit,Rock,,Genius
Johnny hallyday,Nous quand on s'embrasse,Rock,,Genius
Johnny hallyday,Twist in USA,Rock,,Genius
Johnny hallyday,Toi qui regrettes,Rock,,Genius
Johnny hallyday,Sam'di soir,Rock,,Genius
Johnny hallyday,Viens danser le twist,Rock,,Genius
Johnny hallyday,Let's Twist Again,Rock,,Genius
Johnny hallyday,Douce violence,Rock,,Genius
Johnny hallyday,Danse le twist avec moi,Rock,,Genius
Johnny hallyday,Tu peux la prendre,Rock,,Genius
Johnny hallyday,Avec une poignée de terre,Rock,,Genius
Johnny hallyday,Il faut saisir sa chance,Rock,,Genius
Johnny hallyday,Retiens la nuit,Rock,,Genius
Johnny hallyday,Sam'di soir,Rock,,Genius
Johnny hallyday,"Wap-dou-wap, tu aimes le Twist",Rock,,Genius
Johnny hallyday,Si tu me téléphones,Rock,,Genius
Johnny hallyday,Ya Ya Twist ,Rock,,Genius
Johnny hallyday,La faute au Twist ,Rock,,Genius
Johnny hallyday,Blueberry Hill,Rock,,Genius
Johnny hallyday,I Got a Woman,Rock,,Genius
Johnny hallyday,Be Bop a Lula,Rock,,Genius
Johnny hallyday,Whole Lotta Shakin' Goin' On,Rock,,Genius
Johnny hallyday,Madison Twist,Rock,,Genius
Johnny hallyday,Hey Baby,Rock,,Genius
Johnny hallyday,Une fille comme toi,Rock,,Genius
Johnny hallyday,Serre la main d'un fou ,Rock,,Genius
Johnny hallyday,Pas cette chanson ,Rock,,Genius
Johnny hallyday,Dans un jardin d'amour,Rock,,Genius
Johnny hallyday,Laissez-nous twister ,Rock,,Genius
Les Chaussettes Noires,Je t'aime trop,Rock,,Genius
Les Chaussettes Noires,Parce que tu sais,Rock,,Genius
Les Chaussettes Noires,Daniela,Rock,,Genius
Les Chaussettes Noires,Noël de l'an dernier,Rock,,Genius
Les Chaussettes Noires,Be bop a lula,Rock,,Genius
Les Chaussettes Noires,Quand je te vois,Rock,,Genius
Les Chaussettes Noires,Le twist du père noël,Rock,,Genius
Les Chaussettes Noires,Tant pis pour toi,Rock,,Genius
Les Chaussettes Noires,Peppermint de twist,Rock,,Genius
Les Chaussettes Noires,La leçon de twist,Rock,,Genius
Les Chaussettes Noires,Shout shout,Rock,,Genius
Les Chaussettes Noires,Tu parles trop ,Rock,,Genius
Les Chaussettes Noires,Toi quand tu me quittes,Rock,,Genius
Les Chaussettes Noires,Dactylo rock,Rock,,Genius
Les Chaussettes Noires,"Chérie, oh chérie",Rock,,Genius
Les Chaussettes Noires,Oh Mary-lou,Rock,,Genius
Les Chaussettes Noires,Eddie sois bon,Rock,,Genius
Les Chaussettes Noires,Je voudrais bien dormir,Rock,,Genius
Les Chaussettes Noires,"Hey, Let's Twist",Rock,,Genius
Les Chaussettes Noires,C'est la nuit,Rock,,Genius
Les Chaussettes Noires,Madam' madam',Rock,,Genius
Les Chaussettes Noires,Vivre sa vie,Rock,,Genius
Les Chaussettes Noires,Noël de france,Rock,,Genius
Les Chaussettes Noires,Line,Rock,,Genius
Les Chaussettes Noires,Volage (Infidèle),Rock,,Genius
Les Chaussettes Noires,Oh dis eddie,Rock,,Genius
Les Chaussettes Noires,Le twist,Rock,,Genius
Les Chaussettes Noires,Juste ça,Rock,,Genius
Les Chaussettes Noires,Il revient,Rock,,Genius
Les Chaussettes Noires,Oublie-moi,Rock,,Genius
Les Chaussettes Noires,Les enchaînée,Rock,,Genius
Les Chaussettes Noires,Shake rattle and roll,Rock,,Genius
Les Chaussettes Noires,Boing boing,Rock,,Genius
Les Chaussettes Noires,Betty,Rock,,Genius
Les Chaussettes Noires,Autant de choses,Rock,,Genius
Les Chaussettes Noires,Fou d'elle,Rock,,Genius
Les Chaussettes Noires,La nuit est belle,Rock,,Genius
Les Chaussettes Noires,Le chemin de la joie,Rock,,Genius
Les Chaussettes Noires,Petite soeur d'amour,Rock,,Genius
Les Chaussettes Noires,Ni ton fil ni ton aiguille,Rock,,Genius
Les Chaussettes Noires,Trop jaloux,Rock,,Genius
Les Chaussettes Noires,Non ne lui dis pas,Rock,,Genius
Les Chaussettes Noires,Petite sheila,Rock,,Genius
Les Chaussettes Noires,Rock des karts,Rock,,Genius
Les Chaussettes Noires,Le temps est lent,Rock,,Genius
Les Chaussettes Noires,Roly poly,Rock,,Genius
Les Chaussettes Noires,Jezelbel,Rock,,Genius
Les Chaussettes Noires,Ceci est mon histoire,Rock,,Genius
Les Chaussettes Noires,C'est tout comme,Rock,,Genius
Les Chaussettes Noires,Ne délaisse pas,Rock,,Genius
Danny boy et ses pénitents,Stop !,Rock,143,
Danny boy et ses pénitents,Un collier de tes bras,Rock,128,
Danny boy et ses pénitents,Ha ! ha !,Rock,126,
Danny boy et ses pénitents,Lettre ouverte,Rock,187,
Danny boy et ses pénitents,Croque la pomme,Rock,171,
Danny boy et ses pénitents,Le twist de schubert,Rock,155,
Danny boy et ses pénitents,Et puis voilà,Rock,126,
Danny boy et ses pénitents,Danny boy,Rock,121,
Danny boy et ses pénitents,Je Ne Veux Plus Etre Un Dragueur,Rock,135,
Danny boy et ses pénitents,C'est Encore Une Souris,Rock,124,
Danny boy et ses pénitents,Un Coup Au Coeur,Rock,115,
Danny boy et ses pénitents,Il y a longtemps,Rock,119,https://www.paroles.net/dany-boy-et-ses-penitents/paroles-il-y-a-longtemps
Les Chats Sauvages ,Est-ce Que Tu Le Sais,Rock,,
Les Chats Sauvages ,Oh! Baby Tu Me Rends Fou,Rock,,
Les Chats Sauvages ,Amour Et Rock,Rock,,
Les Chats Sauvages ,C'est Pas Sérieux,Rock,,
Les Chats Sauvages ,Sans Raison,Rock,,
Les Chats Sauvages ,Viens Danser Le Twist,Rock,,
Les Chats Sauvages ,"Yeh, Yeh, Yeh",Rock,,
Les Chats Sauvages ,Twist A Saint-Tropez,Rock,,Genius
Les Chats Sauvages ,Oh Boy !,Rock,,
Les Chats Sauvages ,Les Genoux Qui Craquent,Rock,,
Les Chats Sauvages ,Dernier baisers,Rock,,Genius
Les Chats Sauvages ,C'est le jour,Rock,,Genius
Les Chats Sauvages ,Sherry,Rock,,Genius
Dick Rivers,Je Suis Bien,Rock,,Genius
Dick Rivers,"Cours, Mon Coeur",Rock,,Genius
Dick Rivers,Bien Trop Court,Rock,,Genius
Dick Rivers,Baby John,Rock,,Genius
Dick Rivers,L'amour De Ma Vie,Rock,,Genius
Dick Rivers,Au Coeur De La Nuit,Rock,,Genius
Dick Rivers,Tout A Changé,Rock,,Genius
Dick Rivers,Lydia,Rock,,Genius
Dick Rivers,Adresse-toi Ailleurs (Down The Line),Rock,,Genius
Dick Rivers,La Fille Qu'on A Tant Aimée,Rock,,Genius
Dick Rivers,Tu N'es Plus là,Rock,145,Genius
Dick Rivers,"Mon Coeur, Tu Remets ça",Rock,130,Genius
Dick Rivers,J'en Suis Fou,Rock,140,Genius
Dick Rivers,Dans Ma Vallée,Rock,175,Genius
Dick Rivers,Mais Oui Baby,Rock,105,Genius
Dick Rivers,Mes Ennuis,Rock,110,Genius
Dick Rivers,Laisse Parler Ton Coeur,Rock,110,Genius
Dick Rivers,Ça Ne S'oublie Pas,Rock,140,Genius
Dick Rivers,Baby John,Rock,150,Genius
Dick Rivers,Voulez Vous Danser?,Rock,130,Genius
Dick Rivers,On A Juste L'âge,Rock,150,Genius
Dick Rivers,Je Rentre Tout Seul,Rock,155,Genius
Dick Rivers,Rien Que Toi,Rock,175,Genius
Dick Rivers,Quand Je L'Ai Vue Devant Moi,Rock,145,Genius
Dick Rivers,Ne Lui Dis Rien,Rock,170,Genius
Dick Rivers,Tout Le Monde Sait Tout,Rock,115,Genius
Dick Rivers,Si Jamais,Rock,155,Genius
Dick Rivers,Oublie-Le,Rock,125,Genius
Dick Rivers,Amour De Neige,Rock,150,Genius
Dick Rivers,What'd I Say,Rock,315,Pas sur Genius
Dick Rivers,Je Croyais,Rock,115,Genius
Dick Rivers,Maintenant Tu Veux Partir,Rock,150,Genius
Dick Rivers,Tu N' Est Plus Là,Rock,145,Pas sur Genius
Dick Rivers,La Fille Dont Je Rêvais,Rock,170,Genius
Dick Rivers,Twist And Shout,Rock,135,Pas sur Genius
Dick Rivers,Je Ne Suis Plus Rien Sans Toi,Rock,,Genius
Dick Rivers,Entre Nous C’est Fini,Rock,,Genius
Dick Rivers,Si Un Jour,Rock,,Genius
Dick Rivers,Tout Ira Très Bien,Rock,,Pas sur Genius
Dick Rivers,Chaque Nuit,Rock,,Genius
Dick Rivers,Ces Mots Qu’on Oublie Un Jour,Rock,,Genius
Dick Rivers,Je T’aime Trop,Rock,,Genius
Dick Rivers,La Seule Que Me Tient,Rock,,Pas sur Genius
Dick Rivers,Mais Je T’aime,Rock,,Genius
Dick Rivers,Tobacco Road,Rock,,Genius
Dick Rivers,Moi Je Peux,Rock,,Genius
CLAUDE FRANCOIS,CETTE ANNEE LA,VF,173,
SERGE LAMA,JE SUIS MALADE,VF,249,
BARBARA,"L'AIGLE NOIR
",VF,298,
"JOHNNY HALLYDAY
","REQUIEM POUR UN FOU
",VF,290,
"PARTENAIRE PARTICULIER
","PARTENAIRE PARTICULIER
",VF,248,
LARA FABIAN,"PAR AMOUR",VF,198,
"CLAUDIO CAPEO
","DIS LE MOI",VF,266,
"HOSHI
","TA MARINIERE
",VF,223,
NIAGARA,"QUAND LA VILLE DORT
",VF,231,
AMIR,LONGTEMPS,VF,219,
"RENAN LUCE
","LES VOISINES
",VF,224,
Francis Cabrel,Je l’aime à mourir,VF,166,
DANIEL GUICHARD,MON VIEUX,VF,209,
DANIEL BALAVOINE,SAUVER L'AMOUR,VF,266,
JEAN JACQUES LAFON,LE GEANT DE PAPIER,VF,190,
JENIFER,NOTRE IDYLLE,VF,188,
ALAIN SOUCHON,FOULE SENTIMENTALE,VF,325,
AXELLE RED,SENSUALITE,VF,232,
DE PALMAS,SUR LA ROUTE,VF,283,
LOUANE,SI T'ETAIS LA,VF,154,
EDDY MITCHELL,COULEUR MENTHE A L'EAU,VF,211,
DALIDA ,PAROLES PAROLES,VF,246,
CELINE DION,POUR QUE TU M'AIMES ENCORE,VF,255,
GAROU,"SEUL
",VF,267,
LAURENT VOULZY,Belle-Île-En-Mer Marie-Galante,VF,311,
MICHEL BERGER,LA GROUPIE DU PIANISTE,VF,283,
Jacques Brel,Amsterdam,VF,203,
PASCAL OBISPO,TOMBE POUR ELLE,VF,247,
Renaud,Mistral gagnant,VF,183,
MARC LAVOINE,"TOI MON AMOUR
",VF,215,
Jean-jacques goldman,Quand la music est bonne,VF,217,
images,les demons de minuit,VF,223,
Jean-Pierre Mader,Macumba,VF,216,
Laroche Valmont,T'As Le Look Coco,VF,196,
Desireless,Voyage Voyage,VF,264,
Nuit de folie,Nuit de folie,VF,243,
Renaud,Toujours debout,VF,223,
Renaud,Dès que le vent soufflera,VF,266,
Renaud,Manhattan Kaboul,VF,222,
Francis Cabrel,dans chaque coeur,VF,305,
Francis Cabrel,la corrida,VF,334,
Marc Lavoine,Elle a les yeux revolver,VF,218,
Marc Lavoine,C’est ça la France,VF,260,
Marc Lavoine,Chère Amie,VF,214,
Luna parker,Tes états d’âme... Éric,VF,195,
Jacques Brel,Ces gens-là,VF,223,
Jacques Brel,La Chanson des vieux amants,VF,272,